year,month,day,hour,PM_US Post
2014,1,16,4,623
2014,1,16,5,618
2014,1,16,6,532
2014,1,16,7,477
2014,1,16,8,479
2014,1,16,9,490
2014,1,16,10,476
2014,1,16,11,457
2014,1,16,12,327
2014,1,16,13,161
2014,1,16,14,286
2014,1,16,15,298
2014,1,16,16,310
2014,1,16,17,332
2014,1,16,18,391
2014,1,16,19,437
2014,1,16,20,422
2014,1,16,21,320
2014,1,16,22,346
2014,1,16,23,351
2014,1,17,0,297
2014,1,17,1,290
2014,1,17,2,250
2014,1,17,3,170
2014,1,17,4,103
2014,1,17,5,79
2014,1,17,6,73
2014,1,17,7,74
2014,1,17,8,77
2014,1,17,9,81
2014,1,17,10,95
2014,1,17,11,115
2014,1,17,12,77
2014,1,17,13,67
2014,1,17,14,13
2014,1,17,15,12
2014,1,17,16,10
2014,1,17,17,195
2014,1,17,18,238
2014,1,17,19,293
2014,1,17,20,384
2014,1,17,21,381
2014,1,17,22,296
2014,1,17,23,38
2014,1,18,0,19
2014,1,18,1,22
2014,1,18,2,20
2014,1,18,3,14
2014,1,18,4,23
2014,1,18,5,19
2014,1,18,6,22
2014,1,18,7,33
2014,1,18,8,42
2014,1,18,9,40
2014,1,18,10,43
2014,1,18,11,56
2014,1,18,12,57
2014,1,18,13,153
2014,1,18,14,108
2014,1,18,15,89
2014,1,18,16,87
2014,1,18,17,95
2014,1,18,18,111
2014,1,18,19,112
2014,1,18,20,145
2014,1,18,21,184
2014,1,18,22,178
2014,1,18,23,170
2014,1,19,0,161
2014,1,19,1,133
2014,1,19,2,114
2014,1,19,3,112
2014,1,19,4,114
2014,1,19,5,130
2014,1,19,6,133
2014,1,19,7,143
2014,1,19,8,137
2014,1,19,9,143
2014,1,19,10,145
2014,1,19,11,185
2014,1,19,12,198
2014,1,19,13,205
2014,1,19,14,195
2014,1,19,15,203
2014,1,19,16,209
2014,1,19,17,202
2014,1,19,18,28
2014,1,19,19,26
2014,1,19,20,22
2014,1,19,21,24
2014,1,19,22,16
2014,1,19,23,16
2014,1,20,0,17
2014,1,20,1,7
2014,1,20,2,9
2014,1,20,3,10
2014,1,20,4,8
2014,1,20,5,7
2014,1,20,6,10
2014,1,20,7,11
2014,1,20,8,11
2014,1,20,9,10
2014,1,20,10,7
2014,1,20,11,9
2014,1,20,12,14
2014,1,20,13,13
2014,1,20,14,14
2014,1,20,15,9
2014,1,20,16,14
2014,1,20,17,9
2014,1,20,18,8
2014,1,20,19,10
2014,1,20,20,8
2014,1,20,21,9
2014,1,20,22,11
2014,1,20,23,11
2014,1,21,0,10
2014,1,21,1,15
2014,1,21,2,13
2014,1,21,3,16
2014,1,21,4,13
2014,1,21,5,18
2014,1,21,6,18
2014,1,21,7,22
2014,1,21,8,23
2014,1,21,9,24
2014,1,21,10,24
2014,1,21,11,23
2014,1,21,12,23
2014,1,21,13,42
2014,1,21,14,54
2014,1,21,15,48
2014,1,21,16,66
2014,1,21,17,56
2014,1,21,18,67
2014,1,21,19,95
2014,1,21,20,111
2014,1,21,21,112
2014,1,21,22,113
2014,1,21,23,127
2014,1,22,0,137
2014,1,22,1,164
2014,1,22,2,190
2014,1,22,3,175
2014,1,22,4,142
2014,1,22,5,107
2014,1,22,6,101
2014,1,22,7,100
2014,1,22,8,97
2014,1,22,9,101
2014,1,22,10,105
2014,1,22,11,117
2014,1,22,12,119
2014,1,22,13,115
2014,1,22,14,125
2014,1,22,15,117
2014,1,22,16,123
2014,1,22,17,184
2014,1,22,18,210
2014,1,22,19,213
2014,1,22,20,237
2014,1,22,21,258
2014,1,22,22,264
2014,1,22,23,324
2014,1,23,0,344
2014,1,23,1,356
2014,1,23,2,366
2014,1,23,3,350
2014,1,23,4,321
2014,1,23,5,294
2014,1,23,6,239
2014,1,23,7,219
2014,1,23,8,221
2014,1,23,9,245
2014,1,23,10,311
2014,1,23,11,240
2014,1,23,12,235
2014,1,23,13,232
2014,1,23,14,238
2014,1,23,15,243
2014,1,23,16,282
2014,1,23,17,310
2014,1,23,18,295
2014,1,23,19,301
2014,1,23,20,325
2014,1,23,21,319
2014,1,23,22,335
2014,1,23,23,301
2014,1,24,0,312
2014,1,24,1,316
2014,1,24,2,296
2014,1,24,3,270
2014,1,24,4,252
2014,1,24,5,234
2014,1,24,6,233
2014,1,24,7,241
2014,1,24,8,231
2014,1,24,9,214
2014,1,24,10,210
2014,1,24,11,178
2014,1,24,12,142
2014,1,24,13,122
2014,1,24,14,59
2014,1,24,15,47
2014,1,24,16,40
2014,1,24,17,32
2014,1,24,18,48
2014,1,24,19,32
2014,1,24,20,25
2014,1,24,21,26
2014,1,24,22,43
2014,1,24,23,54
2014,1,25,0,55
2014,1,25,1,53
2014,1,25,2,60
2014,1,25,3,55
2014,1,25,4,42
2014,1,25,5,36
2014,1,25,6,32
2014,1,25,7,14
2014,1,25,8,15
2014,1,25,9,18
2014,1,25,10,14
2014,1,25,11,15
2014,1,25,12,15
2014,1,25,13,14
2014,1,25,14,19
2014,1,25,15,17
2014,1,25,16,16
2014,1,25,17,14
2014,1,25,18,33
2014,1,25,19,45
2014,1,25,20,55
2014,1,25,21,71
2014,1,25,22,59
2014,1,25,23,42
2014,1,26,0,31
2014,1,26,1,30
2014,1,26,2,39
2014,1,26,3,23
2014,1,26,4,26
2014,1,26,5,25
2014,1,26,6,26
2014,1,26,7,24
2014,1,26,8,29
2014,1,26,9,28
2014,1,26,10,35
2014,1,26,11,35
2014,1,26,12,38
2014,1,26,13,49
2014,1,26,14,65
2014,1,26,15,72
2014,1,26,16,74
2014,1,26,17,80
2014,1,26,18,88
2014,1,26,19,106
2014,1,26,20,113
2014,1,26,21,139
2014,1,26,22,119
2014,1,26,23,122
2014,1,27,0,116
2014,1,27,1,132
2014,1,27,2,120
2014,1,27,3,111
2014,1,27,4,108
2014,1,27,5,110
2014,1,27,6,119
2014,1,27,7,125
2014,1,27,8,143
2014,1,27,9,149
2014,1,27,10,133
2014,1,27,11,136
2014,1,27,12,149
2014,1,27,13,161
2014,1,27,14,167
2014,1,27,15,167
2014,1,27,16,53
2014,1,27,17,19
2014,1,27,18,32
2014,1,27,19,15
2014,1,27,20,11
2014,1,27,21,10
2014,1,27,22,11
2014,1,27,23,11
2014,1,28,0,9
2014,1,28,1,19
2014,1,28,2,13
2014,1,28,3,13
2014,1,28,4,14
2014,1,28,5,17
2014,1,28,6,16
2014,1,28,7,18
2014,1,28,8,31
2014,1,28,9,23
2014,1,28,10,15
2014,1,28,11,57
2014,1,28,12,65
2014,1,28,13,64
2014,1,28,14,65
2014,1,28,15,64
2014,1,28,16,81
2014,1,28,17,75
2014,1,28,18,70
2014,1,28,19,71
2014,1,28,20,83
2014,1,28,21,74
2014,1,28,22,86
2014,1,28,23,75
2014,1,29,0,72
2014,1,29,1,74
2014,1,29,2,76
2014,1,29,3,84
2014,1,29,4,81
2014,1,29,5,86
2014,1,29,6,84
2014,1,29,7,88
2014,1,29,8,91
2014,1,29,9,102
2014,1,29,10,121
2014,1,29,11,132
2014,1,29,12,163
2014,1,29,13,175
2014,1,29,14,190
2014,1,29,15,203
2014,1,29,16,205
2014,1,29,17,217
2014,1,29,18,241
2014,1,29,19,226
2014,1,29,20,225
2014,1,29,21,205
2014,1,29,22,213
2014,1,29,23,229
2014,1,30,0,217
2014,1,30,1,218
2014,1,30,2,128
2014,1,30,3,88
2014,1,30,4,20
2014,1,30,5,16
2014,1,30,6,6
2014,1,30,7,12
2014,1,30,8,20
2014,1,30,9,26
2014,1,30,10,16
2014,1,30,11,16
2014,1,30,12,16
2014,1,30,13,12
2014,1,30,14,17
2014,1,30,15,17
2014,1,30,16,25
2014,1,30,17,39
2014,1,30,18,54
2014,1,30,19,123
2014,1,30,20,142
2014,1,30,21,157
2014,1,30,22,190
2014,1,30,23,137
2014,1,31,0,469
2014,1,31,1,344
2014,1,31,2,281
2014,1,31,3,209
2014,1,31,4,150
2014,1,31,5,138
2014,1,31,6,133
2014,1,31,7,130
2014,1,31,8,143
2014,1,31,9,103
2014,1,31,10,81
2014,1,31,11,70
2014,1,31,12,81
2014,1,31,13,117
2014,1,31,14,130
2014,1,31,15,146
2014,1,31,16,144
2014,1,31,17,147
2014,1,31,18,140
2014,1,31,19,148
2014,1,31,20,155
2014,1,31,21,167
2014,1,31,22,180
2014,1,31,23,183
2014,2,1,0,181
2014,2,1,1,172
2014,2,1,2,167
2014,2,1,3,171
2014,2,1,4,179
2014,2,1,5,175
2014,2,1,6,190
2014,2,1,7,189
2014,2,1,8,187
2014,2,1,9,178
2014,2,1,10,184
2014,2,1,11,152
2014,2,1,12,124
2014,2,1,13,163
2014,2,1,14,143
2014,2,1,15,127
2014,2,1,16,109
2014,2,1,17,120
2014,2,1,18,135
2014,2,1,19,118
2014,2,1,20,132
2014,2,1,21,141
2014,2,1,22,144
2014,2,1,23,141
2014,2,2,0,144
2014,2,2,1,159
2014,2,2,2,163
2014,2,2,3,174
2014,2,2,4,164
2014,2,2,5,171
2014,2,2,6,162
2014,2,2,7,152
2014,2,2,8,141
2014,2,2,9,66
2014,2,2,10,22
2014,2,2,11,15
2014,2,2,12,13
2014,2,2,13,13
2014,2,2,14,12
2014,2,2,15,13
2014,2,2,16,10
2014,2,2,17,9
2014,2,2,18,8
2014,2,2,19,9
2014,2,2,20,7
2014,2,2,21,9
2014,2,2,22,8
2014,2,2,23,10
2014,2,3,0,8
2014,2,3,1,10
2014,2,3,2,9
2014,2,3,3,6
2014,2,3,4,6
2014,2,3,5,7
2014,2,3,6,5
2014,2,3,7,6
2014,2,3,8,6
2014,2,3,9,4
2014,2,3,10,4
2014,2,3,11,6
2014,2,3,12,6
2014,2,3,13,6
2014,2,3,14,4
2014,2,3,15,6
2014,2,3,16,6
2014,2,3,17,6
2014,2,3,18,6
2014,2,3,19,11
2014,2,3,20,11
2014,2,3,21,13
2014,2,3,22,16
2014,2,3,23,3
2014,2,4,0,7
2014,2,4,1,6
2014,2,4,2,6
2014,2,4,3,6
2014,2,4,4,6
2014,2,4,5,7
2014,2,4,6,10
2014,2,4,7,10
2014,2,4,8,9
2014,2,4,9,12
2014,2,4,10,12
2014,2,4,11,11
2014,2,4,12,10
2014,2,4,13,6
2014,2,4,14,8
2014,2,4,15,7
2014,2,4,16,18
2014,2,4,17,17
2014,2,4,18,50
2014,2,4,19,71
2014,2,4,20,91
2014,2,4,21,109
2014,2,4,22,126
2014,2,4,23,104
2014,2,5,0,80
2014,2,5,1,69
2014,2,5,2,62
2014,2,5,3,73
2014,2,5,4,115
2014,2,5,5,155
2014,2,5,6,148
2014,2,5,7,114
2014,2,5,8,94
2014,2,5,9,117
2014,2,5,10,118
2014,2,5,11,116
2014,2,5,12,96
2014,2,5,13,96
2014,2,5,14,102
2014,2,5,15,99
2014,2,5,16,104
2014,2,5,17,101
2014,2,5,18,92
2014,2,5,19,76
2014,2,5,20,90
2014,2,5,21,111
2014,2,5,22,125
2014,2,5,23,139
2014,2,6,0,151
2014,2,6,1,204
2014,2,6,2,203
2014,2,6,3,200
2014,2,6,4,187
2014,2,6,5,168
2014,2,6,6,158
2014,2,6,7,155
2014,2,6,8,154
2014,2,6,9,146
2014,2,6,10,150
2014,2,6,11,136
2014,2,6,12,130
2014,2,6,13,122
2014,2,6,14,125
2014,2,6,15,121
2014,2,6,16,108
2014,2,6,17,102
2014,2,6,18,118
2014,2,6,19,130
2014,2,6,20,155
2014,2,6,21,131
2014,2,6,22,93
2014,2,6,23,91
2014,2,7,0,86
2014,2,7,1,101
2014,2,7,2,105
2014,2,7,3,110
2014,2,7,4,112
2014,2,7,5,119
2014,2,7,6,100
2014,2,7,7,105
2014,2,7,8,105
2014,2,7,9,112
2014,2,7,10,107
2014,2,7,11,94
2014,2,7,12,84
2014,2,7,13,89
2014,2,7,14,90
2014,2,7,15,98
2014,2,7,16,100
2014,2,7,17,109
2014,2,7,18,107
2014,2,7,19,107
2014,2,7,20,106
2014,2,7,21,108
2014,2,7,22,109
2014,2,7,23,106
2014,2,8,0,95
2014,2,8,1,94
2014,2,8,2,88
2014,2,8,3,115
2014,2,8,4,133
2014,2,8,5,132
2014,2,8,6,147
2014,2,8,7,147
2014,2,8,8,146
2014,2,8,9,79
2014,2,8,10,38
2014,2,8,11,20
2014,2,8,12,14
2014,2,8,13,10
2014,2,8,14,6
2014,2,8,15,9
2014,2,8,16,7
2014,2,8,17,10
2014,2,8,18,8
2014,2,8,19,7
2014,2,8,20,14
2014,2,8,21,10
2014,2,8,22,6
2014,2,8,23,9
2014,2,9,0,13
2014,2,9,1,9
2014,2,9,2,10
2014,2,9,3,9
2014,2,9,4,10
2014,2,9,5,10
2014,2,9,6,11
2014,2,9,7,12
2014,2,9,8,16
2014,2,9,9,12
2014,2,9,10,17
2014,2,9,11,14
2014,2,9,12,14
2014,2,9,13,12
2014,2,9,14,14
2014,2,9,15,10
2014,2,9,16,11
2014,2,9,17,11
2014,2,9,18,14
2014,2,9,19,15
2014,2,9,20,26
2014,2,9,21,24
2014,2,9,22,18
2014,2,9,23,11
2014,2,10,0,12
2014,2,10,1,9
2014,2,10,2,9
2014,2,10,3,13
2014,2,10,4,9
2014,2,10,5,8
2014,2,10,6,7
2014,2,10,7,13
2014,2,10,8,13
2014,2,10,9,22
2014,2,10,10,10
2014,2,10,11,18
2014,2,10,12,20
2014,2,10,13,20
2014,2,10,14,26
2014,2,10,15,24
2014,2,10,16,25
2014,2,10,17,34
2014,2,10,18,42
2014,2,10,19,47
2014,2,10,20,53
2014,2,10,21,64
2014,2,10,22,65
2014,2,10,23,66
2014,2,11,0,76
2014,2,11,1,83
2014,2,11,2,120
2014,2,11,3,121
2014,2,11,4,111
2014,2,11,5,112
2014,2,11,6,100
2014,2,11,7,84
2014,2,11,8,66
2014,2,11,9,64
2014,2,11,10,73
2014,2,11,11,90
2014,2,11,12,103
2014,2,11,13,126
2014,2,11,14,146
2014,2,11,15,143
2014,2,11,16,135
2014,2,11,17,188
2014,2,11,18,221
2014,2,11,19,203
2014,2,11,20,204
2014,2,11,21,184
2014,2,11,22,177
2014,2,11,23,220
2014,2,12,0,268
2014,2,12,1,255
2014,2,12,2,241
2014,2,12,3,181
2014,2,12,4,146
2014,2,12,5,141
2014,2,12,6,136
2014,2,12,7,124
2014,2,12,8,87
2014,2,12,9,66
2014,2,12,10,44
2014,2,12,11,36
2014,2,12,12,39
2014,2,12,13,55
2014,2,12,14,114
2014,2,12,15,100
2014,2,12,16,95
2014,2,12,17,162
2014,2,12,18,237
2014,2,12,19,229
2014,2,12,20,175
2014,2,12,21,150
2014,2,12,22,145
2014,2,12,23,268
2014,2,13,0,237
2014,2,13,1,208
2014,2,13,2,193
2014,2,13,3,175
2014,2,13,4,160
2014,2,13,5,176
2014,2,13,6,181
2014,2,13,7,185
2014,2,13,8,198
2014,2,13,9,205
2014,2,13,10,206
2014,2,13,11,214
2014,2,13,12,214
2014,2,13,13,204
2014,2,13,14,208
2014,2,13,15,200
2014,2,13,16,197
2014,2,13,17,220
2014,2,13,18,236
2014,2,13,19,239
2014,2,13,20,250
2014,2,13,21,243
2014,2,13,22,251
2014,2,13,23,263
2014,2,14,0,262
2014,2,14,1,261
2014,2,14,2,276
2014,2,14,3,264
2014,2,14,4,259
2014,2,14,5,250
2014,2,14,6,235
2014,2,14,7,222
2014,2,14,8,206
2014,2,14,9,205
2014,2,14,10,196
2014,2,14,11,218
2014,2,14,12,234
2014,2,14,13,264
2014,2,14,14,272
2014,2,14,15,307
2014,2,14,16,323
2014,2,14,17,311
2014,2,14,18,327
2014,2,14,19,362
2014,2,14,20,487
2014,2,14,21,436
2014,2,14,22,436
2014,2,14,23,579
2014,2,15,0,649
2014,2,15,1,457
2014,2,15,2,466
2014,2,15,3,408
2014,2,15,4,344
2014,2,15,5,322
2014,2,15,6,287
2014,2,15,7,319
2014,2,15,8,282
2014,2,15,9,277
2014,2,15,10,277
2014,2,15,11,279
2014,2,15,12,327
2014,2,15,13,348
2014,2,15,14,418
2014,2,15,15,423
2014,2,15,16,366
2014,2,15,17,338
2014,2,15,18,347
2014,2,15,19,336
2014,2,15,20,351
2014,2,15,21,353
2014,2,15,22,375
2014,2,15,23,382
2014,2,16,0,393
2014,2,16,1,388
2014,2,16,2,376
2014,2,16,3,382
2014,2,16,4,362
2014,2,16,5,345
2014,2,16,6,328
2014,2,16,7,323
2014,2,16,8,297
2014,2,16,9,280
2014,2,16,10,267
2014,2,16,11,259
2014,2,16,12,177
2014,2,16,13,161
2014,2,16,14,120
2014,2,16,15,185
2014,2,16,16,211
2014,2,16,17,169
2014,2,16,18,242
2014,2,16,19,247
2014,2,16,20,238
2014,2,16,21,225
2014,2,16,22,216
2014,2,16,23,165
2014,2,17,0,142
2014,2,17,1,136
2014,2,17,2,117
2014,2,17,3,119
2014,2,17,4,52
2014,2,17,5,46
2014,2,17,6,53
2014,2,17,7,67
2014,2,17,8,70
2014,2,17,9,61
2014,2,17,10,78
2014,2,17,11,88
2014,2,17,12,75
2014,2,17,13,73
2014,2,17,14,79
2014,2,17,15,67
2014,2,17,16,73
2014,2,17,17,71
2014,2,17,18,66
2014,2,17,19,66
2014,2,17,20,75
2014,2,17,21,59
2014,2,17,22,41
2014,2,17,23,45
2014,2,18,0,28
2014,2,18,1,27
2014,2,18,2,27
2014,2,18,3,46
2014,2,18,4,65
2014,2,18,5,60
2014,2,18,6,54
2014,2,18,7,63
2014,2,18,8,71
2014,2,18,9,69
2014,2,18,10,76
2014,2,18,11,82
2014,2,18,12,63
2014,2,18,13,63
2014,2,18,14,63
2014,2,18,15,64
2014,2,18,16,79
2014,2,18,17,88
2014,2,18,18,80
2014,2,18,19,89
2014,2,18,20,93
2014,2,18,21,104
2014,2,18,22,123
2014,2,18,23,118
2014,2,19,0,116
2014,2,19,1,125
2014,2,19,2,119
2014,2,19,3,120
2014,2,19,4,122
2014,2,19,5,122
2014,2,19,6,112
2014,2,19,7,108
2014,2,19,8,103
2014,2,19,9,89
2014,2,19,10,58
2014,2,19,11,38
2014,2,19,12,19
2014,2,19,13,22
2014,2,19,14,18
2014,2,19,15,14
2014,2,19,16,16
2014,2,19,17,15
2014,2,19,18,34
2014,2,19,19,39
2014,2,19,20,89
2014,2,19,21,124
2014,2,19,22,142
2014,2,19,23,152
2014,2,20,0,156
2014,2,20,1,152
2014,2,20,2,160
2014,2,20,3,173
2014,2,20,4,174
2014,2,20,5,180
2014,2,20,6,185
2014,2,20,7,184
2014,2,20,8,190
2014,2,20,9,196
2014,2,20,10,163
2014,2,20,11,221
2014,2,20,12,233
2014,2,20,13,240
2014,2,20,14,273
2014,2,20,15,327
2014,2,20,16,347
2014,2,20,17,384
2014,2,20,18,392
2014,2,20,19,400
2014,2,20,20,394
2014,2,20,21,448
2014,2,20,22,424
2014,2,20,23,400
2014,2,21,0,398
2014,2,21,1,383
2014,2,21,2,357
2014,2,21,3,367
2014,2,21,4,335
2014,2,21,5,313
2014,2,21,6,328
2014,2,21,7,324
2014,2,21,8,305
2014,2,21,9,268
2014,2,21,10,247
2014,2,21,11,267
2014,2,21,12,334
2014,2,21,13,328
2014,2,21,14,327
2014,2,21,15,326
2014,2,21,16,309
2014,2,21,17,321
2014,2,21,18,340
2014,2,21,19,346
2014,2,21,20,330
2014,2,21,21,340
2014,2,21,22,353
2014,2,21,23,384
2014,2,22,0,383
2014,2,22,1,399
2014,2,22,2,340
2014,2,22,3,327
2014,2,22,4,295
2014,2,22,5,296
2014,2,22,6,333
2014,2,22,7,336
2014,2,22,8,350
2014,2,22,9,305
2014,2,22,10,283
2014,2,22,11,323
2014,2,22,12,377
2014,2,22,13,357
2014,2,22,14,360
2014,2,22,15,350
2014,2,22,16,339
2014,2,22,17,335
2014,2,22,18,341
2014,2,22,19,352
2014,2,22,20,355
